machine_id,machine_age,usage_intensity,operating_temp,load_factor,rpm,vibration_level,oil_quality,maintenance_count,environment,manufacturer,observed_time,event_observed
M0923,13.42,1.43,109.01,0.85,1994,2.16,0.21,1,harsh,A,51.76,1
M0924,12.0,1.03,70.9,0.49,2702,6.656,0.566,12,indoor,B,45.07,1
M0925,6.38,1.69,82.26,0.99,624,2.832,0.616,12,indoor,C,170.95,0
M0926,0.34,0.64,114.12,0.32,1143,7.317,0.04,18,indoor,A,43.88,1
M0927,4.03,1.38,108.4,0.72,1663,7.88,0.403,17,outdoor,A,95.13,1
M0928,8.12,1.22,119.09,0.76,1067,6.897,0.649,18,outdoor,A,96.86,1
M0929,9.5,1.46,105.25,0.78,2360,6.338,0.698,0,outdoor,B,66.18,1
M0930,3.87,0.6,83.59,0.38,2798,8.978,0.638,7,indoor,A,121.83,1
M0931,2.09,1.37,95.44,0.96,1559,1.247,0.321,15,outdoor,B,38.82,1
M0932,12.52,1.34,99.66,0.43,1355,3.644,0.094,1,harsh,A,64.41,1
M0933,14.77,1.34,64.71,0.74,2904,2.859,0.427,7,indoor,C,50.91,1
M0934,7.89,1.41,92.67,0.46,1612,9.886,0.129,5,outdoor,A,152.69,1
M0935,2.58,1.51,102.56,0.52,1723,4.199,0.948,15,outdoor,A,129.83,1
M0936,4.08,1.71,70.04,0.68,1379,7.46,0.475,10,harsh,B,122.15,0
M0937,0.28,0.9,106.84,0.59,2774,7.005,0.317,16,harsh,B,14.32,1
M0938,13.71,1.74,95.03,0.41,1922,2.515,0.766,18,outdoor,A,58.9,1
M0939,1.77,1.25,117.13,0.42,2405,2.77,0.498,10,outdoor,A,48.57,1
M0940,8.65,0.62,62.55,0.59,2530,3.172,0.31,7,harsh,A,9.33,1
M0941,4.11,0.59,75.92,0.83,1355,4.406,0.812,3,outdoor,B,53.05,1
M0942,8.31,1.0,96.09,0.93,1584,2.726,0.867,10,indoor,C,92.38,0
M0943,9.77,1.68,77.79,0.36,2621,0.687,0.673,7,outdoor,B,48.48,1
M0944,12.45,1.56,102.87,0.58,1408,8.854,0.047,8,indoor,B,78.08,1
M0945,3.1,1.68,105.54,0.37,2485,9.673,0.566,1,indoor,B,133.32,1
M0946,0.16,1.28,66.15,0.31,2852,3.745,0.763,15,harsh,A,105.77,1
M0947,2.05,1.16,90.83,0.76,2058,3.716,0.137,5,outdoor,C,57.81,1
M0948,13.5,0.72,90.53,0.72,2354,0.567,0.229,20,outdoor,C,59.44,1
M0949,13.11,0.99,82.16,0.41,2513,6.962,0.882,20,indoor,A,92.54,1
M0950,8.96,1.15,115.98,0.46,2613,8.342,0.02,18,indoor,A,48.4,1
M0951,9.01,0.63,109.65,0.32,1488,1.893,0.753,7,indoor,A,86.36,0
M0952,9.98,0.83,101.83,0.88,628,2.017,0.474,13,indoor,A,88.62,1
M0953,2.63,1.4,102.86,0.98,1505,8.006,0.447,15,outdoor,B,123.09,0
M0954,13.72,1.6,87.7,0.39,2184,6.355,0.007,11,indoor,B,118.42,1
M0955,6.28,2.0,115.26,0.46,1626,0.926,0.819,4,outdoor,C,69.63,1
M0956,5.75,1.9,101.68,0.91,2372,6.414,0.36,18,indoor,B,70.01,1
M0957,7.78,1.46,103.74,0.95,1392,3.435,0.541,17,harsh,B,35.45,1
M0958,0.7,1.13,111.7,0.59,2087,4.003,0.677,8,indoor,B,134.25,1
M0959,2.49,1.45,76.44,0.34,966,7.812,0.703,1,indoor,A,98.92,1
M0960,11.07,1.68,108.42,0.33,2373,8.204,0.956,19,indoor,A,53.16,1
M0961,1.24,0.68,71.71,0.7,1864,4.303,0.531,11,outdoor,B,53.01,1
M0962,9.05,1.11,80.72,0.58,1010,9.498,0.4,1,outdoor,A,39.6,1
M0963,3.68,1.76,80.14,0.32,1230,4.361,0.954,9,outdoor,A,135.62,1
M0964,5.84,1.08,118.71,0.71,2372,7.832,0.642,0,outdoor,C,31.98,1
M0965,4.33,1.36,111.39,0.31,1707,5.097,0.298,3,indoor,B,88.09,1
M0966,5.34,1.38,102.07,0.85,1040,9.027,0.126,11,outdoor,A,75.52,1
M0967,10.79,0.78,103.62,0.51,2918,9.124,0.843,8,outdoor,B,71.39,1
M0968,4.46,1.04,93.72,0.33,2288,1.33,0.362,3,indoor,C,51.96,0
M0969,8.5,1.0,116.83,0.71,2893,9.397,0.66,8,indoor,A,64.97,0
M0970,7.14,0.54,89.78,0.58,1568,8.343,0.471,5,indoor,A,89.63,1
M0971,9.96,0.54,82.83,0.98,1688,8.017,0.199,0,indoor,C,10.26,1
M0972,14.05,1.75,69.78,0.68,2745,2.409,0.602,9,outdoor,A,73.54,1
M0973,10.99,0.91,107.17,0.49,1813,8.149,0.061,13,indoor,A,106.96,1
M0974,3.22,1.28,104.07,0.8,2268,8.576,0.413,17,indoor,B,95.36,1
M0975,0.47,0.95,83.06,0.49,1130,3.247,0.547,5,indoor,C,109.99,1
M0976,3.93,1.91,61.51,0.93,1617,9.546,0.436,17,harsh,A,34.19,1
M0977,8.93,0.89,110.34,0.56,809,0.974,0.749,19,harsh,A,91.87,1
M0978,0.77,1.14,60.69,0.68,1015,1.924,0.828,15,indoor,A,77.91,1
M0979,7.45,1.81,102.22,0.34,502,5.607,0.771,14,indoor,C,107.17,1
M0980,8.95,1.76,118.22,0.6,598,5.97,0.039,15,indoor,A,74.23,1
M0981,5.01,0.78,86.26,0.88,2943,6.629,0.194,7,outdoor,B,100.09,1
M0982,11.56,1.7,74.1,0.86,1106,0.661,0.537,12,indoor,C,22.26,1
M0983,1.6,1.19,102.29,0.46,2158,9.623,0.935,10,outdoor,A,68.86,1
M0984,1.13,1.22,109.03,0.46,2598,0.924,0.835,6,outdoor,C,87.87,1
M0985,10.92,0.7,92.79,0.87,1877,1.859,0.843,16,harsh,C,32.16,1
M0986,7.43,0.62,118.02,0.95,883,0.633,0.303,17,indoor,C,130.85,1
M0987,10.33,1.59,63.1,0.37,2320,5.885,0.429,18,harsh,A,84.65,1
M0988,6.52,1.24,90.29,0.62,2001,9.357,0.471,12,outdoor,B,81.78,1
M0989,3.7,1.16,103.11,0.54,2328,6.826,0.157,14,indoor,C,60.11,1
M0990,12.29,1.59,111.76,0.91,2424,8.315,0.031,0,indoor,C,53.58,0
M0991,11.99,1.65,70.76,0.36,2939,0.626,0.947,15,indoor,A,57.76,0
M0992,10.42,0.74,108.0,0.45,1934,5.649,0.241,4,indoor,C,52.92,0
M0993,4.08,1.42,93.16,0.83,1354,4.866,0.24,2,indoor,A,88.62,0
M0994,8.85,0.7,83.79,0.34,2121,5.24,0.083,9,outdoor,A,80.88,1
M0995,5.41,1.63,67.9,0.64,671,1.186,0.929,18,outdoor,B,58.23,1
M0996,1.37,1.49,111.92,0.61,2743,7.002,0.58,4,harsh,C,25.42,1
M0997,13.76,1.93,69.44,0.53,798,5.281,0.667,6,indoor,B,7.92,1
M0998,2.05,0.6,78.59,0.58,1320,7.769,0.912,13,harsh,B,47.95,1
M0999,14.25,0.59,77.4,0.67,2539,5.11,0.346,2,indoor,C,97.76,1
M1000,6.69,0.92,112.28,0.41,1993,1.919,0.622,12,outdoor,A,133.79,1
